Model,Training Time (s),Training Loss,Training Accuracy (%),Testing Accuracy (%),Number of Parameters
VGG1Block,411.87361192703247,9.549596802150328,95.36551724137931,89.1891891891892,411045250
VGG3Block,409.3443479537964,5.241960761312705,90.4,75.67567567567568,103133698
VGG3BlocksAugmented,1470.9988150596619,0.6308994306065141,90.86896551724138,81.08108108108108,103133698
TransferLearningVGG16,461.11759209632874,0.7916313004493714,51.90344827586207,51.351351351351354,134268738
TransferLearningVGG16MLP,472.86285853385925,0.1820053184153136,97.90344827586208,91.89189189189189,134268738
MLPVGG16Compare,453.06121492385864,7.983201800692208,84.59310344827587,75.67567567567568,616574978
MLP_VGG16_Compare_Augmented,1528.4753119945526,2.2509045504530265,74.0,72.97297297297297,616574978
