Model,Training Time (s),Training Loss,Training Accuracy (%),Testing Accuracy (%),Number of Parameters
VGG1Block,451.41669487953186,10.535793077698134,94.82758620689656,78.37837837837837,411045250
VGG3Block,417.63936710357666,4.53260121451031,91.6,72.97297297297297,103133698
VGG3BlocksAugmented,1460.619239807129,0.2904254585442444,92.70344827586207,78.37837837837837,103133698
TransferLearningVGG16,487.185186624527,0.8918841238816577,52.02758620689655,54.054054054054056,134268738
TransferLearningVGG16MLP,434.0293745994568,0.1341250157180246,97.37931034482759,91.89189189189189,134268738
MLPVGG16Compare,472.8251829147339,9.849774359536044,83.64137931034483,75.67567567567568,616574978
MLP_VGG16_Compare_Augmented,1431.3434658050537,1.012644047240416,73.50344827586207,64.86486486486487,616574978
